Frequency (Hz)	Level (dB)
21.533203	-13.837166
43.066406	-11.922333
64.599609	-12.063751
86.132813	-13.185350
107.666016	-12.720821
129.199219	-12.083141
150.732422	-12.113065
172.265625	-12.257114
193.798828	-12.524841
215.332031	-13.368456
236.865234	-13.611056
258.398438	-13.056641
279.931641	-12.955894
301.464844	-13.194735
322.998047	-14.823593
344.531250	-15.795162
366.064453	-16.778734
387.597656	-17.614059
409.130859	-16.503424
430.664063	-17.804564
452.197266	-18.687389
473.730469	-18.438326
495.263672	-20.319880
516.796875	-20.407984
538.330078	-20.987514
559.863281	-22.983776
581.396484	-22.856316
602.929688	-23.393999
624.462891	-24.275248
645.996094	-25.022873
667.529297	-25.229939
689.062500	-26.186245
710.595703	-25.958626
732.128906	-26.433638
753.662109	-27.530376
775.195313	-27.829952
796.728516	-29.430614
818.261719	-29.915333
839.794922	-29.778837
861.328125	-30.840216
882.861328	-31.441133
904.394531	-32.497032
925.927734	-33.602596
947.460938	-33.152939
968.994141	-33.090954
990.527344	-34.115746
1012.060547	-34.469334
1033.593750	-35.295265
1055.126953	-37.142395
1076.660156	-36.892754
1098.193359	-36.668442
1119.726563	-36.758400
1141.259766	-38.127132
1162.792969	-39.487022
1184.326172	-37.546261
1205.859375	-38.129921
1227.392578	-39.134720
1248.925781	-40.313984
1270.458984	-41.724827
1291.992188	-42.181820
1313.525391	-41.608154
1335.058594	-42.167210
1356.591797	-43.977608
1378.125000	-44.620300
1399.658203	-44.732864
1421.191406	-45.266087
1442.724609	-44.746479
1464.257813	-44.119236
1485.791016	-44.733795
1507.324219	-47.149368
1528.857422	-47.694588
1550.390625	-47.444031
1571.923828	-46.903927
1593.457031	-46.697800
1614.990234	-47.361755
1636.523438	-47.460999
1658.056641	-47.902092
1679.589844	-48.721069
1701.123047	-48.180775
1722.656250	-49.946819
1744.189453	-49.923965
1765.722656	-50.659512
1787.255859	-50.321430
1808.789063	-51.028908
1830.322266	-51.014252
1851.855469	-50.998444
1873.388672	-51.849121
1894.921875	-51.440216
1916.455078	-51.283432
1937.988281	-51.775517
1959.521484	-52.062244
1981.054688	-52.850292
2002.587891	-54.268410
2024.121094	-54.233833
2045.654297	-54.725666
2067.187500	-54.390789
2088.720703	-53.598709
2110.253906	-54.096375
2131.787109	-55.286724
2153.320313	-53.760601
2174.853516	-53.935047
2196.386719	-54.899666
2217.919922	-56.021679
2239.453125	-55.384655
2260.986328	-56.699154
2282.519531	-57.456291
2304.052734	-56.014145
2325.585938	-57.129883
2347.119141	-57.738220
2368.652344	-57.566677
2390.185547	-57.030361
2411.718750	-57.615238
2433.251953	-56.484047
